firstname,pctwhite,pcthispanic,pctblack,pctapi,count
ALL OTHER FIRST NAMES,0.35163585267563435,0.1679119231445127,0.2888383516979759,0.19161387248187708,27958712.01758883
MICHAEL,0.8669668415716768,0.04643081976981227,0.07202569311409862,0.014576645544412254,5757503.222505438
JOHN,0.8755598659257177,0.04787746042410508,0.058701566688484946,0.017861106961692207,4952489.654128603
DAVID,0.8443861915168989,0.08753155820890739,0.04638462575912136,0.021697624515072456,4716516.2262618765
ROBERT,0.8613611917424118,0.058164672732814,0.07208168681595196,0.008392448708822175,4707741.682648229
JAMES,0.85106415322369,0.027021482607418677,0.10863485201996494,0.013279512148926415,4488996.478784605
WILLIAM,0.8644029117730736,0.038135002196563135,0.08561433666067564,0.011847749369687546,3103308.0576752587
RICHARD,0.8579315719159148,0.07841626593788441,0.04721773921595293,0.01643442293024778,2817801.187507653
THOMAS,0.9119102014164715,0.02764165801734771,0.04558217191007951,0.014865968656101375,2562078.153863952
MARK,0.9133058625850604,0.03596771227347305,0.040768404728118164,0.009958020413348428,2240877.7822104483
MARY,0.8133953255967793,0.06596436355278934,0.10724575290438908,0.013394557946042454,2382510.5445188456
JOSEPH,0.820037568497197,0.07800006263465159,0.08315881677422839,0.01880355209392321,2214531.7224021233
DANIEL,0.7866944946023876,0.16060899017603128,0.03659028527843655,0.016106229943144586,2135850.3120076885
CHRISTOPHER,0.8706997963174837,0.049098086897539174,0.06734373289905561,0.0128583838859215,2004980.8448141569
SUSAN,0.9319546189739525,0.03227423755820762,0.017712970890880468,0.018058172576959405,1799956.6099323218
JENNIFER,0.8839628653653948,0.054289755219824674,0.04107549940361288,0.020671880011167598,1837326.0498435835
STEVEN,0.9015635764157124,0.03816274701694796,0.040902774070094176,0.019370902497245556,1763785.9562245836
JEFFREY,0.9315300188551832,0.0198332093981665,0.036017485381602536,0.012619286365047926,1698380.8781526913
BRIAN,0.9177604054113153,0.020393754237985822,0.046726027350747865,0.015119812999950983,1704063.4528699776
PAUL,0.863277124530955,0.05915021907108,0.04925313277551073,0.028319523622454143,1663584.5548093366
PATRICIA,0.7509871151360893,0.12287925260108097,0.11959397025929377,0.006539662003535936,1801766.3524974547
CHARLES,0.7820808919040583,0.031423823802165386,0.17375234384590946,0.012742940447866903,1690685.6512153957
LINDA,0.825802226695162,0.055778292705849185,0.10155562449605184,0.016863856102936874,1617197.098629157
MATTHEW,0.9391533245853195,0.029344575745406516,0.023974083390394692,0.007528016278879201,1410102.778160494
KAREN,0.8713483362708381,0.032050426537400985,0.08270083726796658,0.013900399923794422,1438578.931641008
SCOTT,0.9691305757258776,0.012564832469425295,0.009777249652040217,0.00852734215265685,1327825.90904426
KEVIN,0.8528377036768687,0.02234599707966424,0.09522136258312054,0.029594936660346488,1423387.5535637506
LISA,0.8494830717019575,0.05759888773108957,0.0778920620678653,0.015025978499087666,1432297.450786755
TIMOTHY,0.9097088584209051,0.019490370741254946,0.060969544650655565,0.00983122618718429,1360654.5654779614
STEPHEN,0.9227473662979373,0.021739990754537718,0.03900040674088119,0.016512236206643747,1291238.4063859223
BARBARA,0.8081710118989982,0.042147524743310946,0.14463618392891878,0.00504527942877204,1314784.3465767233
ELIZABETH,0.7826985326238739,0.1539661098934463,0.04818230682375621,0.015153050658923571,1309197.1401211268
KENNETH,0.816128861223303,0.028081725066261855,0.13668619405033997,0.019103219660095334,1256672.0006905026
GARY,0.9014407858806057,0.02253732999553018,0.05810099267438371,0.017920891449480312,1141784.4206038455
DONALD,0.8654920826439968,0.019622974457456626,0.10833360537081035,0.00655133752773615,1177188.9024624587
RONALD,0.8138384306107471,0.04235739175472525,0.12988216611646686,0.013922011518060853,1203996.581324495
JASON,0.8731640445261418,0.04644868656395815,0.05377261443105992,0.02661465447884016,1126327.9660138919
NANCY,0.8533867923197449,0.09816775403742053,0.028497838335643493,0.019947615307191083,1118648.908017708
MARIA,0.1571809430406125,0.8036341007638963,0.015031083645709393,0.024153872549781786,2183058.6863326468
ANDREW,0.8624788006233655,0.051981028366535696,0.057230895177881116,0.028309275832217665,1050376.9524237763
KATHLEEN,0.951048029355944,0.02247193925642209,0.018356372991163168,0.008123658396470817,991675.4387464969
ERIC,0.7750174506077432,0.07674462911621423,0.11807814489357427,0.030159775382468446,1113429.0228339664
DEBORAH,0.8355031079032454,0.03963536410299497,0.11887003746908967,0.00599149052466994,1064500.0495735859
GREGORY,0.8373780188610624,0.02841026839135616,0.12625420207098695,0.007957510676594509,1045630.3640678513
ANTHONY,0.6530568698302747,0.11810649264251978,0.20444642491224913,0.024390212614956514,1185566.2653682968
EDWARD,0.7622986808151053,0.10568819328768055,0.10700530731629436,0.025007818580919876,1052327.1528213257
PETER,0.8593566981879069,0.05428413515473634,0.03924784393978904,0.04711132271756768,952902.7403151521
MICHELLE,0.7898478710194834,0.0792735727527561,0.10844858827077448,0.022429967956985954,1011295.8958861617
SANDRA,0.68667606117953,0.1791762893327134,0.12578233380885473,0.008365315678902018,1102376.8450642768
AMY,0.9307882417359007,0.02884264368911466,0.01276218411500114,0.027606930459983466,892037.6536033824
KIMBERLY,0.8400914318411205,0.02908419286014539,0.12287815669015646,0.007946218608577627,958626.0002428353
LAURA,0.819910101383127,0.14786486996164921,0.024522868986017802,0.007702159669205986,954831.0584953432
GEORGE,0.712801476308298,0.11521501435976618,0.1467536370360222,0.025229872295913554,1005325.1431120767
CYNTHIA,0.7415957830260603,0.0937074075498202,0.1486022982841791,0.01609451113994045,974380.4409001298
CAROL,0.8634393374566456,0.03944611966962703,0.08565725638911217,0.01145728648461503,881285.9505926699
DONNA,0.8729090917629759,0.03085696280264232,0.08766120816811497,0.008572737266266818,868389.7672357821
JULIE,0.9167006627480188,0.04207289706369478,0.014113464098296086,0.027112976089990266,806896.2383056971
JOSE,0.025967017297109745,0.9611890974276199,0.0037914793949241016,0.009052405880346242,2139902.691155593
PATRICK,0.8643448454881135,0.03306687326761014,0.08189338089275243,0.020694900351523937,825620.4437616152
DOUGLAS,0.9254786492155039,0.022496449955140458,0.042388739454626435,0.00963616137472915,790271.3479075264
CHRISTINE,0.8709761948052489,0.05297493761287208,0.04728085554704697,0.028768012034832032,790723.4741323361
SHARON,0.7838934881694117,0.018862672546945538,0.18118349613342755,0.016060343150215185,844487.5055472264
PAMELA,0.8066098828059098,0.03166593957341123,0.15211483739950102,0.00960934022117791,829487.7938474452
DENNIS,0.8666247514989981,0.04178222097550785,0.06537547770574843,0.02621754981974565,736453.1372244273
DEBRA,0.8358138476682456,0.0423762092196723,0.1184519522859747,0.003357990826107354,737686.0250728575
DIANE,0.861684463176992,0.04473429072419977,0.08225499537276862,0.011326250726039726,711388.340382859
REBECCA,0.8639733483727331,0.09558909253493218,0.027904717786307962,0.012532841306026608,699618.2029445391
MARGARET,0.8359606713257423,0.05033104715056286,0.10160508592876032,0.012103195594934744,717115.9105364747
KELLY,0.9395340158891914,0.020480587175899914,0.02511082549650273,0.014874571438405959,661045.6633693641
MELISSA,0.8435357323897235,0.0986387076527635,0.048091690855213774,0.009733869102299161,710248.3979071844
LARRY,0.7594149531285567,0.045996259248885465,0.18301504657568823,0.011573741046869632,704947.4652545429
FRANK,0.7164085025640358,0.17242438224931805,0.08766570924223509,0.02350140594441114,713381.4965861331
RYAN,0.9195382422016708,0.028180964663196344,0.030228693359655237,0.022052099775477542,601683.4629033435
SARAH,0.8693049237914215,0.052218898734268895,0.05931832346442538,0.019157854009884265,620143.3222954702
ANGELA,0.6673446985596441,0.11286518133571301,0.2044488631001244,0.015341257004518457,734557.5035545886
STEPHANIE,0.7890062282305543,0.05902981261964777,0.13630458503422607,0.01565937411557192,656679.2928807108
JONATHAN,0.8366174953984419,0.06776655299253634,0.06374906680728232,0.031866884801739395,622634.1963527041
JANET,0.8420538721742341,0.05507248603709701,0.08518977996200655,0.017683861826662265,626321.0126902589
CHERYL,0.8070251652531246,0.017113611558015177,0.16633284284457475,0.00952838034428547,604398.1652700909
CATHERINE,0.8554881359996395,0.04255229161535735,0.0785439178046075,0.023415654580395642,567279.5076244136
HEATHER,0.9377171452098385,0.025750337868149162,0.03157195812451933,0.004960558797492957,535829.700486485
JUDITH,0.8699616369928533,0.07133421120448562,0.05187875885871822,0.006825392943942847,558540.5130779046
TODD,0.9484829590981273,0.011627546524535596,0.03347746876138488,0.006412025615952336,524157.9800390499
LORI,0.9372372111277565,0.02331352610547653,0.02794745600622874,0.011501806760538087,523613.30401285033
KEITH,0.8223595933550997,0.016821617038196564,0.14670366300880844,0.014115126597895366,552269.5776275313
JESSICA,0.7530075016786757,0.18646757664669242,0.04380281790597514,0.016722103768656606,572519.8573023007
BRUCE,0.8971636793653021,0.01728992046193894,0.07259821033836224,0.012948189834396724,506742.0650106955
CRAIG,0.9058012714202064,0.01050134498757327,0.07405123749942391,0.009646146092796393,504693.4797613932
JOSHUA,0.9004790255752194,0.05793082464795037,0.03129629684050549,0.010293852936324725,498993.0926064554
RAYMOND,0.6938380074318532,0.1340593800389136,0.1303314559032958,0.04177115662593767,564314.499736065
DENISE,0.7509361147908514,0.0746923806496767,0.16493930617102,0.009432198388451834,554120.9188686906
ANN,0.8967875388232904,0.02573788288248175,0.0544283653068588,0.02304621298736889,484132.3312519767
BRENDA,0.6324089670196996,0.10920146950571963,0.2500771842672494,0.008312379207331189,608477.883256685
TERESA,0.644881358122829,0.2563555464262767,0.07942131105735974,0.01934178439353459,582188.6482312898
TERRY,0.8306431723022129,0.019155920624461982,0.13814734200847933,0.01205356506484602,486283.4996112619
KATHERINE,0.8757865900726974,0.05084155520858268,0.05311974454017307,0.02025211017854672,458994.4712763352
ALAN,0.8754299281123009,0.042445769717281374,0.03686588764630896,0.04525841452410877,449847.9970996283
ADAM,0.912031660507881,0.05631876057217742,0.02204502608652864,0.009604552833412832,442614.1783975819
KATHRYN,0.9304599508897766,0.027853065095480883,0.03562114848477929,0.006065835529963221,437958.17304316733
CAROLYN,0.7236615190285073,0.03294732202887454,0.23479453178196089,0.008596627160657356,515226.76955967053
NICHOLAS,0.8771038418645799,0.0695628652681962,0.04408036456690387,0.009252928300320182,449531.81687382306
LAWRENCE,0.78828644643724,0.057108038826973566,0.133083710067548,0.0215218046682384,469382.35817896016
PHILIP,0.8746200496681807,0.04449691777206132,0.04288078129640439,0.0380022512633536,417020.95409269474
AMANDA,0.8650205407958497,0.08596818526758643,0.0404831227413951,0.008528151195168792,426629.4269656074
ROGER,0.8409852945850005,0.06800338783404637,0.06975203484824724,0.021259282732705827,428851.45524717204
GERALD,0.8341794184933546,0.03325471703281477,0.12002999115952058,0.012535873314310046,431152.3036269507
JERRY,0.7675652683029851,0.062488574925259895,0.14145691286205894,0.028489243909695993,441615.910287516
ROBIN,0.8478896455498552,0.0208126198964832,0.12139946537393417,0.009898269179727364,420453.50927088957
ANNE,0.9266583788720559,0.02105460481150154,0.03164144534191719,0.020645570974525188,390279.2171265204
BENJAMIN,0.7039552053218572,0.16961783227688268,0.08789209913738649,0.03853486326387359,455695.3947194117
JILL,0.9596026329640923,0.015174925514345579,0.019464386085259737,0.005758055436302491,384287.43678195303
ANDREA,0.7400618051577902,0.10510060475547758,0.1482060253856373,0.006631564701094913,454438.7557369935
NICOLE,0.7732642498562737,0.06169359413537812,0.15494655330230503,0.010095602706043061,438735.951841487
